FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name
43708,43709,14,7,13,000,2016,01,08,6,2,7,1,0,1,0,1,0,0,0,1,"735124,027299999960000","5688810,842500000300000",12.373160536,51.301973786,4,4,4,Süd
43732,43733,14,7,13,000,2016,01,15,4,3,4,2,0,2,0,1,0,0,0,0,"742268,028100000000000","5694721,728600000000000",12.479468361,51.35203196,2,2,2,Ost
43734,43735,14,7,13,000,2016,01,14,5,3,8,6,0,1,0,1,0,0,1,0,"738190,797400000040000","5694460,495900000400000",12.420849131,51.351410376,1,1,1,Nordost
43735,43736,14,7,13,000,2016,01,17,5,2,4,2,2,1,0,1,0,0,0,0,"730269,101999999960000","5701145,928799999900000",12.311619805,51.414689341,8,8,8,Nordwest
43779,43780,14,7,13,000,2016,01,23,5,3,4,2,2,1,0,1,0,0,0,0,"735075,512800000030000","5690238,687900000300000",12.373406519,51.314810772,4,4,4,Süd
43790,43791,14,7,13,000,2016,01,06,6,3,5,2,1,0,1,1,0,0,0,0,"728896,987399999980000","5698651,452999999700000",12.290312733,51.392851818,8,8,8,Nordwest
43836,43837,14,7,13,000,2016,01,13,6,2,5,3,0,0,1,1,0,0,0,0,"735368,911199999970000","5693500,397500000000000",12.379763177,51.343967748,0,0,0,Mitte
43838,43839,14,7,13,000,2016,01,14,7,3,5,2,0,0,0,1,0,0,0,0,"740887,800799999970000","5696362,716599999900000",12.460795476,51.367347309,2,2,2,Ost
43861,43862,14,7,13,000,2016,01,10,5,3,2,6,0,1,1,1,0,0,0,0,"727208,011000000060000","5693573,579599999800000",12.262831686,51.347944772,7,7,7,Alt-West
43862,43863,14,7,13,000,2016,01,10,5,3,0,1,0,2,1,0,0,0,0,0,"736470,731499999990000","5693230,955199999700000",12.395376012,51.341092005,2,2,2,Ost
43876,43877,14,7,13,000,2016,01,18,2,3,2,2,2,1,0,1,0,0,0,0,"740751,417800000050000","5694462,828700000400000",12.457554317,51.350352573,2,2,2,Ost
43918,43919,14,7,13,000,2016,01,15,3,3,5,3,0,0,1,1,0,0,0,0,"733729,938599999990000","5693145,137699999800000",12.356038794,51.341454879,0,0,0,Mitte
43920,43921,14,7,13,000,2016,01,19,5,2,6,4,2,1,0,0,1,0,0,1,"735351,829200000040000","5693510,381900000400000",12.379524947,51.344064442,0,0,0,Mitte
43945,43946,14,7,13,000,2016,01,14,3,3,8,1,0,1,0,1,0,0,0,0,"731490,648599999960000","5697133,310300000000000",12.326539237,51.378171938,8,8,8,Nordwest
43964,43965,14,7,13,000,2016,01,15,5,3,6,4,0,0,0,1,1,0,0,0,"742159,315999999990000","5691559,485999999600000",12.475760412,51.32369586,2,2,2,Ost
43975,43976,14,7,13,000,2016,01,12,6,3,5,3,0,1,0,1,0,0,0,0,"745899,160500000000000","5692188,062599999800000",12.529764232,51.327733397,2,2,2,Ost
43997,43998,14,7,13,000,2016,01,16,2,3,2,2,1,1,0,1,0,0,0,0,"740113,946099999940000","5687869,628800000100000",12.44397712,51.29144344,3,3,3,Südost
44036,44037,14,7,13,000,2016,02,18,4,3,1,6,2,0,0,1,0,0,0,0,"739901,102900000060000","5695618,927899999500000",12.446145665,51.361088842,2,2,2,Ost
44043,44044,14,7,30,270,2016,01,08,5,2,8,1,0,1,0,0,0,0,1,0,"729759,811200000000000","5701179,425699999600000",12.304330233,51.415196597,8,8,8,Nordwest
44052,44053,14,7,13,000,2016,02,08,2,3,5,3,0,0,1,1,0,0,0,0,"740380,130299999960000","5694443,516599999700000",12.452219427,51.350336363,2,2,2,Ost
44063,44064,14,7,13,000,2016,02,03,4,2,6,4,2,0,0,0,1,0,0,1,"736771,536500000050000","5694455,136500000000000",12.400501084,51.351955231,1,1,1,Nordost
44065,44066,14,7,13,000,2016,01,10,4,3,3,2,0,0,1,1,0,0,0,0,"732810,352199999960000","5692795,877500000400000",12.342630678,51.338696948,7,7,7,Alt-West
44076,44077,14,7,13,000,2016,01,17,6,3,9,1,1,0,0,1,0,0,0,0,"732157,891900000050000","5692471,757299999700000",12.333068624,51.336054143,7,7,7,Alt-West
44104,44105,14,7,13,000,2016,02,16,7,3,2,6,0,0,0,1,0,0,0,0,"735454,289299999950000","5693496,259399999900000",12.38098413,51.343895253,0,0,0,Mitte
44115,44116,14,7,13,000,2016,01,12,4,3,1,2,0,1,0,1,0,0,0,0,"734227,547999999950000","5693318,416000000200000",12.363284543,51.342805546,0,0,0,Mitte
44122,44123,14,7,13,000,2016,02,16,4,3,2,6,0,0,0,1,0,0,0,0,"736335,881000000050000","5694335,788999999900000",12.394176774,51.351065255,0,0,0,Mitte
44123,44124,14,7,13,000,2016,02,08,3,3,2,6,0,0,0,1,0,0,0,0,"736679,682000000030000","5695547,134999999800000",12.399910724,51.361795384,1,1,1,Nordost
44139,44140,14,7,13,000,2016,01,19,3,2,2,6,1,1,0,1,0,0,0,1,"730937,727100000020000","5701178,213999999700000",12.321239342,51.414707284,8,8,8,Nordwest
44204,44205,14,7,13,000,2016,01,07,6,2,5,2,0,0,0,1,0,0,0,0,"738578,158500000020000","5694523,489299999500000",12.426443886,51.351813345,1,1,1,Nordost
44223,44224,14,7,13,000,2016,01,12,3,3,4,2,0,0,0,1,0,0,0,0,"736677,625600000030000","5695554,083300000100000",12.399885862,51.361858609,1,1,1,Nordost
44242,44243,14,7,13,000,2016,02,10,4,3,5,3,0,0,0,1,0,0,1,0,"727211,378999999960000","5693381,212000000300000",12.262757196,51.346216471,7,7,7,Alt-West
44261,44262,14,7,13,000,2016,01,08,3,3,5,3,0,1,0,1,0,0,0,0,"731587,845199999980000","5692691,772800000400000",12.32504237,51.3382616,7,7,7,Alt-West
44280,44281,14,7,30,250,2016,01,04,2,3,5,3,2,1,0,0,0,0,0,1,"735027,419499999960000","5702117,338700000200000",12.38056887,51.421457022,9,9,9,Nord
44282,44283,14,7,30,270,2016,02,05,7,3,8,1,2,1,0,1,0,0,0,0,"728369,195700000040000","5701225,114099999900000",12.284395694,51.416168438,8,8,8,Nordwest
44295,44296,14,7,13,000,2016,02,22,5,3,3,6,2,1,0,1,0,0,0,0,"734457,263900000020000","5693406,380400000100000",12.36663485,51.343500476,0,0,0,Mitte
44300,44301,14,7,13,000,2016,02,06,2,2,3,6,2,1,0,1,0,0,1,0,"730778,103400000020000","5682992,376699999900000",12.307168702,51.251519066,5,5,5,Südwest
44304,44305,14,7,13,000,2016,01,12,5,3,9,1,0,0,0,1,0,0,0,0,"736588,064299999970000","5702649,354899999700000",12.403329438,51.425583344,9,9,9,Nord
44317,44318,14,7,13,000,2016,01,17,2,3,2,6,2,1,0,1,0,0,0,0,"741636,775799999940000","5684869,391200000400000",12.463748354,51.263870523,3,3,3,Südost
44345,44346,14,7,13,000,2016,01,16,2,3,2,6,2,0,0,1,0,0,0,0,"739481,847799999990000","5694456,704599999800000",12.439352618,51.350833886,2,2,2,Ost
44353,44354,14,7,13,000,2016,01,11,6,2,5,3,0,0,0,1,0,0,0,0,"733764,456000000010000","5696902,257000000200000",12.359002045,51.375166448,9,9,9,Nord
44356,44357,14,7,13,000,2016,01,10,7,3,2,6,0,2,0,1,0,0,0,1,"739489,056899999970000","5694456,326000000400000",12.439455697,51.350827451,2,2,2,Ost
44357,44358,14,7,13,000,2016,01,17,5,3,6,2,1,1,0,1,1,0,0,0,"734767,418999999990000","5693524,703200000300000",12.37115819,51.344434608,0,0,0,Mitte
44393,44394,14,7,13,000,2016,02,02,1,2,0,7,2,1,1,0,0,0,0,0,"734779,815900000050000","5693527,166000000200000",12.371337497,51.344451596,0,0,0,Mitte
44406,44407,14,7,13,000,2016,02,15,3,3,3,6,0,0,0,0,0,0,0,1,"737274,010600000040000","5690918,001600000100000",12.405348077,51.319996109,0,0,0,Mitte
44428,44429,14,7,13,000,2016,01,14,3,3,6,4,0,0,0,0,1,0,0,1,"738632,300900000030000","5694503,783099999700000",12.42720677,51.351613738,2,2,2,Ost
44444,44445,14,7,13,000,2016,03,16,4,3,5,2,0,0,1,1,0,0,0,0,"729945,812999999970000","5693107,654000000100000",12.301777438,51.342661324,7,7,7,Alt-West
44461,44462,14,7,13,000,2016,03,14,3,3,6,2,0,1,0,0,1,0,0,1,"736427,465399999990000","5692753,488800000400000",12.394439016,51.336824171,3,3,3,Südost
44467,44468,14,7,13,000,2016,03,17,7,3,5,2,1,0,0,1,0,0,0,0,"735097,864300000020000","5697039,235899999700000",12.378216955,51.375845611,9,9,9,Nord
44471,44472,14,7,13,000,2016,03,12,4,3,5,3,0,0,0,1,0,0,0,0,"736236,844000000040000","5693697,804999999700000",12.392333757,51.345379759,0,0,0,Mitte
44491,44492,14,7,13,000,2016,03,12,5,2,6,4,0,0,0,0,1,0,0,1,"735461,542000000020000","5693491,991999999600000",12.381085258,51.343853944,0,0,0,Mitte
44496,44497,14,7,13,000,2016,03,06,3,3,3,2,0,1,1,1,0,0,0,0,"732792,932099999980000","5696858,846099999700000",12.345039223,51.375175825,8,8,8,Nordwest
44539,44540,14,7,13,000,2016,03,14,7,3,2,6,0,0,0,1,0,0,0,0,"741618,029800000020000","5684884,169400000000000",12.463490147,51.264011111,3,3,3,Südost
44559,44560,14,7,13,000,2016,03,01,6,3,8,1,2,0,0,1,0,0,0,0,"732315,795300000000000","5692435,306499999900000",12.335307736,51.335662454,7,7,7,Alt-West
44563,44564,14,7,13,000,2016,02,18,3,2,5,2,2,0,0,1,0,0,0,0,"740530,693800000010000","5686691,785000000100000",12.449149998,51.28069559,3,3,3,Südost
44579,44580,14,7,13,000,2016,02,06,4,3,5,3,2,1,1,1,0,0,0,0,"732963,742500000050000","5692857,737300000200000",12.344869448,51.339189423,7,7,7,Alt-West
44596,44597,14,7,13,000,2016,02,11,1,3,4,1,0,1,0,1,0,0,0,0,"735967,446899999980000","5693799,864500000100000",12.388540153,51.346407744,0,0,0,Mitte
44604,44605,14,7,13,000,2016,03,05,7,3,9,1,2,0,0,1,0,0,0,0,"743200,561200000000000","5695229,184500000400000",12.493181561,51.356188274,2,2,2,Ost
44625,44626,14,7,13,000,2016,03,11,6,2,5,3,0,0,1,1,0,0,0,0,"727444,616000000040000","5690083,249800000300000",12.263995579,51.316516157,6,6,6,West
44627,44628,14,7,13,000,2016,03,09,3,3,2,6,0,1,0,1,0,0,1,0,"735455,804000000000000","5693495,368200000400000",12.381005251,51.343886626,0,0,0,Mitte
44638,44639,14,7,13,000,2016,03,15,5,3,2,6,0,0,0,1,0,0,0,0,"734471,439299999970000","5697039,203400000000000",12.369232315,51.376104292,9,9,9,Nord
44662,44663,14,7,13,000,2016,03,16,3,3,2,6,0,0,0,1,0,0,0,1,"736464,862800000000000","5696399,296400000300000",12.397397265,51.369533925,9,9,9,Nord
44666,44667,14,7,13,000,2016,03,14,3,3,2,6,0,0,0,1,0,0,0,0,"736217,477700000050000","5693800,030600000200000",12.392124003,51.346305403,0,0,0,Mitte
44689,44690,14,7,13,000,2016,02,14,5,3,5,3,0,0,1,1,0,0,0,0,"734614,948899999960000","5690188,476300000200000",12.366776516,51.314550088,4,4,4,Süd
44698,44699,14,7,13,000,2016,03,18,5,3,5,3,0,1,1,1,0,0,0,0,"736339,115699999970000","5694744,270600000400000",12.394494396,51.354730508,1,1,1,Nordost
44710,44711,14,7,13,000,2016,03,16,2,3,2,6,0,0,0,1,0,0,0,0,"743111,021199999960000","5695102,292399999700000",12.49181134,51.355087696,2,2,2,Ost
44729,44730,14,7,13,000,2016,02,13,2,3,2,2,0,1,1,1,0,0,0,0,"735076,870699999970000","5690238,860799999900000",12.373426083,51.314811763,4,4,4,Süd
