OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
60305,14170126144200907890,14,7,13,000,2017,01,17,5,3,4,6,0,1,0,0,1,1,1,"728434,642200000000000","5693260,324400000300000",12.280214878000038,51.34464102900006,7,7,7,Alt-West
60315,14170125144200918620,14,7,13,000,2017,01,13,4,3,4,2,0,1,0,0,0,0,1,"742268,094799999960000","5694721,739199999700000",12.479469325000025,51.352032027000064,2,2,2,Ost
60338,14170123148410897180,14,7,13,000,2017,01,22,2,3,6,4,0,0,1,0,1,2,2,"735417,111799999960000","5693518,373100000400000",12.380465901000036,51.34410914700004,0,0,0,Mitte
60363,14170120148410897010,14,7,13,000,2017,01,04,6,3,9,7,0,0,0,0,1,2,0,"736320,723000000000000","5693614,261900000300000",12.393480534000048,51.34459500200006,0,0,0,Mitte
60364,14170120144310911540,14,7,13,000,2017,01,08,6,2,2,6,0,0,0,0,1,0,0,"739504,288900000040000","5698695,739199999700000",12.442529680000064,51.388872734000074,1,1,1,Nordost
60365,14170120144200941810,14,7,13,000,2017,01,14,6,3,2,6,0,1,0,0,0,0,1,"736046,004800000000000","5693813,668399999800000",12.389675293000039,51.34649903900004,0,0,0,Mitte
60366,14170120144200895220,14,7,13,000,2017,01,20,6,2,4,2,0,1,0,0,0,2,1,"735096,669600000020000","5697039,240899999600000",12.378199823000045,51.375846151000076,9,9,9,Nord
60390,14170118148423914890,14,7,13,000,2017,01,11,4,3,5,2,0,1,0,0,0,0,1,"736533,799400000020000","5696116,297199999900000",12.398197590000052,51.36696499400006,9,9,9,Nord
60411,14170116148410896680,14,7,13,000,2017,01,11,2,3,3,2,0,1,0,0,1,0,0,"736170,933599999990000","5693931,621000000300000",12.391544170000031,51.34750592100005,0,0,0,Mitte
60412,14170116144310894370,14,7,13,000,2017,01,23,2,2,8,1,0,1,0,0,0,2,1,"730265,792900000000000","5701194,649000000200000",12.31160393600004,51.415128037000045,8,8,8,Nordwest
60459,14170112144200895430,14,7,13,000,2017,01,14,5,2,6,2,0,1,1,0,0,0,1,"740915,176400000000000","5696367,377299999800000",12.46119116400007,51.36737753300008,2,2,2,Ost
60472,14170111148210876520,14,7,13,000,2017,01,16,4,3,5,3,0,1,0,0,1,1,1,"735291,317400000060000","5690263,277800000300000",12.376513834000036,51.31494232700004,4,4,4,Süd
