OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
64350,14,7,13,000,2018,01,13,7,3,5,3,0,0,1,0,0,0,0,0,"734775,713899999970000","5693526,347799999600000",12.371278164000046,51.344445945000075,0,0,0,Mitte
64362,14,7,13,000,2018,01,15,4,2,6,4,0,0,0,1,0,1,0,0,"738718,450300000030000","5689272,883100000200000",12.424938117000067,51.30462553000007,3,3,3,Südost
64554,14,7,13,000,2018,01,08,3,3,4,6,0,1,0,0,0,0,0,0,"736505,685999999990000","5692237,633299999900000",12.395217495000054,51.33216123400007,3,3,3,Südost
64824,14,7,13,000,2018,01,17,3,3,3,2,2,1,1,0,0,0,0,0,"733926,744799999990000","5696959,113300000300000",12.36136711100005,51.37560999300007,9,9,9,Nord
64907,14,7,13,000,2018,01,17,7,2,6,6,2,1,0,1,0,0,0,0,"739475,732800000000000","5694457,119900000300000",12.439265246000048,51.35084019000004,2,2,2,Ost
64926,14,7,13,000,2018,01,06,4,2,6,4,2,0,1,1,0,0,0,1,"737001,775000000020000","5691370,305999999900000",12.401749020000068,51.32416950600003,3,3,3,Südost
65306,14,7,13,000,2018,01,14,6,3,5,3,0,0,1,0,0,0,0,0,"736574,167999999950000","5702617,042999999600000",12.403108350000025,51.42529911200006,9,9,9,Nord
65658,14,7,13,000,2018,01,14,3,3,5,3,0,1,1,0,0,0,0,0,"734786,927000000030000","5693528,321000000500000",12.371440181000025,51.34445902700003,0,0,0,Mitte
65699,14,7,13,000,2018,01,15,5,3,8,7,0,0,0,0,0,1,0,0,"744646,457100000000000","5692599,697700000400000",12.512101205000022,51.331967932000055,2,2,2,Ost
65751,14,7,13,000,2018,01,17,4,3,1,6,2,0,1,0,0,0,0,0,"727727,653999999980000","5699059,972799999600000",12.273795567000036,51.39698957100006,8,8,8,Nordwest
65761,14,7,13,000,2018,01,18,4,3,5,3,2,0,1,0,0,0,0,1,"734757,906899999940000","5693486,716500000100000",12.370996810000065,51.34409755200005,0,0,0,Mitte
65763,14,7,13,000,2018,01,18,4,2,4,2,2,0,1,0,0,0,0,1,"736426,773500000010000","5692748,667899999800000",12.394425902000023,51.33678118500006,3,3,3,Südost
65765,14,7,13,000,2018,01,14,4,3,5,3,0,0,1,0,0,0,0,0,"726965,730800000020000","5686125,804200000100000",12.254619153000021,51.28117934200003,5,5,5,Südwest
65806,14,7,13,000,2018,02,07,5,3,5,3,1,0,1,0,0,0,0,1,"734725,792200000030000","5690193,167799999900000",12.36836728000003,51.31454649900007,4,4,4,Süd
65808,14,7,13,000,2018,01,22,3,3,5,3,2,1,1,0,0,0,0,0,"735412,233800000050000","5693521,312500000000000",12.380397930000072,51.34413755200006,0,0,0,Mitte
65820,14,7,13,000,2018,01,09,3,3,4,2,0,0,1,0,0,0,0,1,"736427,027000000000000","5692749,916000000200000",12.394430363000026,51.33679228300008,3,3,3,Südost
65856,14,7,13,000,2018,02,12,6,2,2,6,0,0,1,0,0,0,0,0,"728433,736799999960000","5683279,105800000000000",12.273814841000046,51.255036818000065,5,5,5,Südwest
65864,14,7,13,000,2018,01,13,7,3,5,3,0,0,1,0,0,0,1,0,"733908,887200000000000","5693211,260499999900000",12.358646940000028,51.34197484600003,0,0,0,Mitte
65873,14,7,13,000,2018,01,10,7,3,5,2,0,0,1,0,0,0,0,1,"733562,903000000050000","5693076,318000000000000",12.353599673000076,51.34090575100004,0,0,0,Mitte
65877,14,7,13,000,2018,01,18,7,3,4,2,2,0,1,0,0,0,0,0,"740382,255000000000000","5694443,695200000000000",12.452250002000028,51.350337068000044,2,2,2,Ost
65879,14,7,13,000,2018,01,10,2,3,2,6,0,0,1,0,0,0,0,0,"728885,340600000000000","5698644,496299999800000",12.290141127000027,51.39279406400004,8,8,8,Nordwest
65886,14,7,13,000,2018,01,09,5,2,8,1,0,0,0,0,1,0,0,0,"729676,254800000000000","5692503,080199999700000",12.297523883000054,51.33734297400008,7,7,7,Alt-West
65889,14,7,13,000,2018,01,18,3,3,6,2,2,0,1,1,0,0,0,0,"736341,438300000040000","5692488,972699999800000",12.393030752000072,51.334485578000056,3,3,3,Südost
65913,14,7,13,000,2018,01,13,6,2,9,1,0,0,1,0,0,0,0,1,"738901,460300000040000","5699206,899400000500000",12.434225498000046,51.393714791000036,1,1,1,Nordost
65916,14,7,13,000,2018,01,20,1,3,9,1,2,0,1,0,0,0,0,0,"736738,351900000010000","5701855,664300000300000",12.404957185000058,51.418396474000076,9,9,9,Nord
65950,14,7,13,000,2018,01,05,7,3,6,2,1,0,0,1,0,0,1,1,"731285,576000000000000","5697268,182099999900000",12.323685434000026,51.37946621200007,8,8,8,Nordwest
65976,14,7,13,000,2018,01,07,1,3,9,1,0,0,1,0,0,0,0,1,"726754,221000000020000","5693424,314100000100000",12.256231250000042,51.34678594400003,7,7,7,Alt-West
65982,14,7,13,000,2018,01,08,6,3,3,2,1,1,1,0,0,0,0,1,"733550,216699999990000","5693103,906200000100000",12.353435944000069,51.34115860900005,0,0,0,Mitte
65985,14,7,13,000,2018,01,16,6,3,5,3,0,0,1,0,0,0,0,1,"727199,550000000050000","5693381,956000000200000",12.262588102000052,51.34622787700005,7,7,7,Alt-West
66028,14,7,13,000,2018,01,16,7,2,6,4,0,0,0,1,0,0,1,0,"734342,408900000040000","5693373,168999999800000",12.36496681500006,51.34324970600005,0,0,0,Mitte
66078,14,7,13,000,2018,01,22,6,3,5,3,2,1,1,0,0,0,0,1,"735641,870800000030000","5693501,823800000400000",12.38367633100006,51.34386748900005,0,0,0,Mitte
66113,14,7,13,000,2018,02,12,2,2,6,4,0,0,1,1,0,0,0,0,"730093,497300000050000","5693094,752899999700000",12.30388590800004,51.34248576500005,7,7,7,Alt-West
66124,14,7,13,000,2018,02,23,2,2,9,1,2,0,1,0,0,0,0,1,"744059,094999999970000","5692070,020999999700000",12.503323352000052,51.327466310000034,2,2,2,Ost
66129,14,7,13,000,2018,03,23,2,3,9,1,2,0,1,0,0,0,0,1,"743377,732199999970000","5695063,846800000400000",12.49560817500003,51.354628493000064,2,2,2,Ost
66140,14,7,13,000,2018,03,18,2,3,3,7,2,0,1,0,0,0,0,0,"735440,431899999970000","5699085,146900000100000",12.384486165000055,51.39406823000007,9,9,9,Nord
66153,14,7,13,000,2018,03,20,3,3,8,1,2,0,0,0,0,1,0,2,"731445,133200000040000","5700087,053500000400000",12.327811488000066,51.40470543400005,8,8,8,Nordwest
66212,14,7,13,000,2018,02,08,3,3,5,3,0,1,1,0,0,0,0,0,"736341,346400000040000","5692488,748599999600000",12.393029287000047,51.33448360400007,3,3,3,Südost
66219,14,7,13,000,2018,02,11,2,3,5,3,0,0,1,0,0,0,0,0,"735290,397099999940000","5690250,813699999800000",12.376492430000042,51.31483082500006,4,4,4,Süd
66220,14,7,13,000,2018,02,11,5,3,2,6,0,0,1,0,0,0,0,0,"740474,214900000020000","5686678,721099999700000",12.448332889000028,51.28060216800003,3,3,3,Südost
66229,14,7,13,000,2018,02,10,4,3,2,6,0,0,0,0,0,1,0,0,"740514,081200000020000","5697458,350999999800000",12.45617803500005,51.37733958000007,1,1,1,Nordost
66266,14,7,13,000,2018,02,13,1,3,5,3,0,1,1,0,0,0,0,0,"735173,730100000040000","5693551,130400000100000",12.37699922400003,51.34450390900008,0,0,0,Mitte
66273,14,7,13,000,2018,03,16,5,3,2,6,0,0,1,0,0,0,0,0,"736206,110499999950000","5693811,201899999800000",12.391968487000042,51.34641040100007,0,0,0,Mitte
66280,14,7,13,000,2018,02,02,1,2,5,3,2,1,1,0,0,0,0,0,"735502,070700000040000","5693438,401600000400000",12.381630696000059,51.34335611500006,0,0,0,Mitte
66321,14,7,13,000,2018,02,12,6,3,2,6,0,0,1,0,0,1,0,0,"743383,229399999950000","5695184,054999999700000",12.495769185000029,51.35570503200006,2,2,2,Ost
66336,14,7,13,000,2018,02,10,4,2,2,6,0,0,1,0,0,0,0,0,"736956,704999999960000","5699962,840800000400000",12.406827393000071,51.40131537700006,9,9,9,Nord
66354,14,7,13,000,2018,02,13,7,3,3,2,0,0,1,0,0,0,0,0,"736990,928700000050000","5691387,848799999800000",12.40160529700006,51.32433149000008,3,3,3,Südost
66372,14,7,13,000,2018,03,13,6,3,8,1,0,0,1,0,0,0,0,0,"742261,920599999950000","5689034,840400000100000",12.475515733000066,51.30099234200003,3,3,3,Südost
66396,14,7,13,000,2018,02,23,3,3,5,2,2,0,1,0,0,0,0,0,"730274,149500000060000","5701144,097199999700000",12.311691076000045,51.41467084900006,8,8,8,Nordwest
