OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
132715,14,7,13,000,2019,01,07,6,3,3,6,0,0,1,0,0,0,0,"740804,863463973630000","5697126,251831194400000",12.46012339500004,51.37423559600006,1,1,1,1,Nordost
132862,14,7,13,000,2019,01,07,5,2,4,2,2,1,1,0,0,0,0,"735291,186303271910000","5690263,271176885800000",12.376511952000044,51.314942322000036,0,4,4,4,Süd
132999,14,7,13,000,2019,01,18,3,3,2,6,2,0,1,0,0,0,0,"729338,167279931720000","5693172,435152988900000",12.293109506000064,51.343488292000075,1,7,7,7,Alt-West
133070,14,7,13,000,2019,01,19,5,3,2,2,2,1,1,0,0,0,0,"742166,712358369490000","5690969,637807399000000",12.475465758000041,51.31839856100004,2,2,2,2,Ost
133092,14,7,13,000,2019,01,08,7,2,4,2,0,0,1,0,0,0,0,"740523,539030830380000","5687422,154204452400000",12.449539233000053,51.28725422500003,1,3,3,3,Südost
133106,14,7,13,000,2019,01,17,1,3,5,3,1,0,1,0,0,0,0,"736681,044270331970000","5695558,230594534400000",12.39993763800004,51.36189441100004,0,1,1,1,Nordost
133147,14,7,13,000,2019,01,15,6,3,9,1,0,0,1,0,0,0,0,"731485,484822376630000","5697136,022777773400000",12.326466934000052,51.37819839200006,1,8,8,8,Nordwest
133175,14,7,13,000,2019,01,07,2,3,8,1,2,0,1,0,0,0,0,"729856,399333570150000","5692870,201494958300000",12.300342580000063,51.34056585600007,1,7,7,7,Alt-West
133305,14,7,13,000,2019,01,00,1,2,8,1,2,0,1,0,0,0,0,"740549,222322641870000","5687422,516524992900000",12.449907105000023,51.28724663300005,1,3,3,3,Südost
133381,14,7,13,000,2019,01,17,2,3,5,3,2,1,1,0,0,0,0,"735174,636312143880000","5693551,330268301100000",12.377012344000036,51.34450532900007,1,0,0,0,Mitte
133421,14,7,13,000,2019,01,10,3,3,8,1,0,0,1,0,0,0,0,"736308,103113589810000","5694132,676757995000000",12.39364375100007,51.349253633000046,1,0,0,0,Mitte
133618,14,7,13,000,2019,01,11,2,3,2,2,0,0,1,0,0,1,0,"728688,389999999660000","5693235,630000000800000",12.28383629600006,51.34431733200006,1,7,7,7,Alt-West
133672,14,7,13,000,2019,01,06,4,3,5,3,2,1,1,0,0,0,0,"732523,249864229930000","5692414,072155706600000",12.338266832000045,51.33538706000007,0,7,7,7,Alt-West
133685,14,7,13,000,2019,01,16,3,3,6,4,0,0,0,1,0,0,1,"734908,552324116230000","5693528,362344000500000",12.37318344700003,51.344409160000055,0,0,0,0,Mitte
133687,14,7,13,000,2019,01,04,3,3,5,3,2,0,1,0,0,0,0,"738417,359233802180000","5699900,352701827900000",12.427745615000049,51.40014264200005,0,1,1,1,Nordost
133689,14,7,13,000,2019,01,16,3,3,9,1,0,0,1,0,0,1,0,"730428,125962703490000","5700987,136201687200000",12.31379952900005,51.41319929900004,1,8,8,8,Nordwest
133702,14,7,13,000,2019,01,18,2,3,2,2,2,0,1,0,0,0,0,"728041,522000001740000","5684241,646000001600000",12.26881706100005,51.263834934000045,1,5,5,5,Südwest
133730,14,7,13,000,2019,01,14,7,3,0,4,0,0,0,1,0,0,1,"735410,038428382020000","5693522,619589647300000",12.380367329000023,51.344150193000075,0,0,0,0,Mitte
133744,14,7,13,000,2019,01,09,6,2,2,6,0,0,1,0,0,0,0,"730357,504864577200000","5701044,422730021200000",12.312822957000037,51.413742238000054,0,8,8,8,Nordwest
133775,14,7,13,000,2019,01,17,5,3,5,3,2,0,1,0,0,0,0,"735062,533681083470000","5690249,598785892100000",12.37322780200003,51.31491407300007,0,4,4,4,Süd
133795,14,7,13,000,2019,01,16,4,3,4,2,2,0,1,0,0,0,0,"740887,751537336970000","5696362,685745406900000",12.460794749000058,51.36734705300006,0,2,2,2,Ost
133797,14,7,13,000,2019,01,19,4,2,3,6,2,0,1,0,0,0,0,"741917,580694153900000","5684686,069583414100000",12.46764169100004,51.26210603200008,0,3,3,3,Südost
133798,14,7,13,000,2019,01,16,4,3,5,3,1,1,1,0,0,0,0,"735174,070387811400000","5693551,205423917600000",12.377004151000051,51.34450444200007,0,0,0,0,Mitte
133807,14,7,13,000,2019,01,14,3,3,2,6,0,0,1,0,0,0,0,"732316,722774287690000","5692434,995196355500000",12.335320824000064,51.33565928100006,1,7,7,7,Alt-West
133841,14,7,13,000,2019,01,11,4,3,5,3,0,0,1,0,0,0,0,"742258,385004735550000","5694730,729139989200000",12.479336267000065,51.35211685400003,0,2,2,2,Ost
133843,14,7,13,000,2019,01,08,2,3,5,2,0,1,1,0,0,0,0,"736494,048000001350000","5694625,089999999900000",12.396636263000062,51.353596279000044,0,1,1,1,Nordost
133852,14,7,13,000,2019,01,22,2,2,8,1,2,0,1,0,0,0,0,"735813,587000002150000","5698214,968000002200000",12.389262446000032,51.38610245400008,2,9,9,9,Nord
133871,14,7,13,000,2019,01,02,3,2,9,1,2,0,0,0,0,1,0,"744526,981436498460000","5692993,143592461900000",12.510659506000025,51.33555051900004,2,2,2,2,Ost
133873,14,7,13,000,2019,01,05,3,2,8,1,2,0,1,0,0,1,0,"744573,167412871490000","5692796,015431178700000",12.511185940000075,51.33376141800005,2,2,2,2,Ost
133875,14,7,13,000,2019,01,15,3,3,6,4,0,0,0,1,0,0,1,"739074,694419216360000","5694940,924557309600000",12.433841782000059,51.35535153400008,1,2,2,2,Ost
133901,14,7,13,000,2019,01,20,2,3,6,4,2,0,1,1,0,0,0,"734105,423098985110000","5693267,424792535600000",12.36150066600004,51.34239812000004,1,0,0,0,Mitte
133904,14,7,13,000,2019,01,11,2,3,5,2,0,0,1,0,1,0,0,"732496,220553982070000","5692412,357039945200000",12.337878368000077,51.33538271400005,0,7,7,7,Alt-West
133906,14,7,13,000,2019,01,16,2,3,3,6,2,0,1,0,0,0,0,"728869,993823635390000","5698650,339562540900000",12.28992468000007,51.39285270900007,1,8,8,8,Nordwest
133908,14,7,13,000,2019,01,18,2,3,2,6,2,0,1,0,0,0,0,"732322,476088902910000","5692433,064423769700000",12.335402014000067,51.33563959900005,1,7,7,7,Alt-West
133925,14,7,13,000,2019,01,19,6,3,2,2,2,0,1,0,0,0,0,"726969,057543769480000","5686122,621579440300000",12.254664754000032,51.28114944500004,1,5,5,5,Südwest
133973,14,7,13,000,2019,01,15,7,3,4,2,0,0,1,0,0,0,0,"740891,048000000420000","5696352,698000002700000",12.46083525000006,51.36725601000006,1,2,2,2,Ost
133983,14,7,13,000,2019,01,09,5,3,5,3,0,1,0,0,0,0,1,"734633,341703763230000","5697039,065660947900000",12.371554353000022,51.37603618900005,1,9,9,9,Nord
134014,14,7,13,000,2019,01,10,4,3,6,2,0,0,1,1,0,0,0,"734469,642852154560000","5697039,181638388000000",12.369206534000057,51.37610483800006,1,9,9,9,Nord
134024,14,7,13,000,2019,01,12,6,3,2,6,0,0,1,0,0,0,0,"735860,338327688170000","5693713,627545774000000",12.386947811000027,51.34567810600004,0,0,0,0,Mitte
134074,14,7,13,000,2019,03,17,3,3,2,6,0,0,1,0,0,0,0,"734692,174000000580000","5693506,059999998700000",12.37006742400007,51.34429832400008,0,0,0,0,Mitte
134076,14,7,13,000,2019,03,11,3,3,6,2,0,0,1,1,0,0,0,"731842,857774238100000","5692529,601808819900000",12.32859155500006,51.33670191600004,0,7,7,7,Alt-West
