OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
111579,14200103144200204390,14,7,13,000,2020,01,13,6,3,5,3,0,1,1,0,0,0,0,"736412,870500000190000","5692681,956599999200000",12.394182398000055,51.336188151000044,0,3,3,3,Südost
111775,14200107144200114130,14,7,13,000,2020,01,09,3,3,0,7,0,0,1,0,0,0,0,"729674,715699999590000","5692499,943499999100000",12.29749980300005,51.33731543700003,0,7,7,7,Alt-West
112172,14200103144200111210,14,7,13,000,2020,01,09,6,3,9,1,0,0,1,0,0,0,0,"731832,247999999670000","5688295,693000000000000",12.325687102000074,51.298699129000056,0,5,5,5,Südwest
112390,14200108148210135020,14,7,13,000,2020,01,09,4,3,2,6,0,0,1,0,0,0,0,"740009,473000000230000","5694423,856000000600000",12.446893326000065,51.35031651600008,1,2,2,2,Ost
112425,14200126148310169570,14,7,13,000,2020,01,05,1,3,9,1,2,0,1,0,0,0,0,"732971,143600000070000","5692848,104900000600000",12.344969218000074,51.33909992400004,1,7,7,7,Alt-West
112426,14200126144310169390,14,7,13,000,2020,01,11,1,2,9,1,0,0,1,0,0,0,0,"737877,861999999730000","5699647,711999999400000",12.419834772000058,51.39810139900004,1,1,1,1,Nordost
112428,14200126144200192610,14,7,13,000,2020,01,18,1,3,4,2,2,0,1,0,0,0,0,"736720,708700000310000","5692015,727199999600000",12.398151072000076,51.330079924000074,0,3,3,3,Südost
112474,14200123148410204560,14,7,13,000,2020,01,16,5,2,6,6,0,1,0,1,0,0,0,"735447,402800000270000","5693454,142300000400000",12.380857581000043,51.34352004900006,0,0,0,0,Mitte
112475,14200123148223224290,14,7,13,000,2020,01,18,5,3,5,3,2,1,1,0,0,0,0,"735291,977300000380000","5690263,311100000500000",12.37652330800006,51.31494235300005,0,4,4,4,Süd
112476,14200123144200182481,14,7,13,000,2020,01,14,5,3,5,2,0,0,1,0,0,0,0,"729849,651399999860000","5692856,465500000900000",12.300236999000049,51.340445275000036,0,7,7,7,Alt-West
112477,14200123144200163300,14,7,13,000,2020,01,17,5,3,5,2,2,1,1,0,0,0,0,"732078,074500000100000","5692452,077800000100000",12.331911954000077,51.33591006200004,0,7,7,7,Alt-West
112491,14200122144200159150,14,7,13,000,2020,01,09,4,3,5,3,0,1,1,0,0,0,0,"732388,919300000180000","5692411,802200000700000",12.336340318000055,51.33542158800003,1,7,7,7,Alt-West
112550,14200119148410182950,14,7,13,000,2020,01,18,1,3,5,3,2,0,1,0,0,0,0,"735855,524899999610000","5693715,583399999900000",12.386880115000054,51.34569765900005,1,0,0,0,Mitte
112563,14200118148210151360,14,7,13,000,2020,01,08,7,3,4,2,0,0,1,0,0,0,0,"734726,273000000040000","5690203,143999999400000",12.368380732000048,51.31463585200004,1,4,4,4,Süd
112581,14200117148110146170,14,7,13,000,2020,01,07,6,3,6,2,2,0,1,1,0,0,0,"731363,374800000340000","5692764,740100000100000",12.321872731000042,51.33900798600007,0,7,7,7,Alt-West
112582,14200117144200254090,14,7,13,000,2020,01,13,6,2,4,6,0,0,1,0,0,0,0,"728028,487399999980000","5700168,120600000000000",12.278824744000076,51.40681677500004,0,8,8,8,Nordwest
