OID_,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstige,ULICHTVERH,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLAE,IstStrassenzustand,index_right,FID,SBZ,Name
120656,14,7,13,000,2021,03,16,2,3,2,2,0,1,0,0,0,0,0,"741730,353001618757844","5687493,833982555195689",12.466861700000038,51.28738683300003,14210301144200177310,0,3,3,3,Südost
120658,14,7,13,000,2021,05,17,2,3,0,1,1,0,0,0,0,0,0,"728898,827185031026602","5691758,867874955758452",12.285903750000045,51.330975495000075,14210517148310364090,1,6,6,6,West
120659,14,7,13,000,2021,05,06,2,3,5,3,0,1,0,0,0,0,0,"732792,939088235609233","5696858,846367839723825",12.345039324000027,51.37517582400005,14210503144200327430,0,8,8,8,Nordwest
120674,14,7,13,000,2021,03,05,4,2,5,2,0,1,0,0,0,2,0,"743389,712073598057032","5695196,003962710499763",12.495870284000034,51.35580950000008,14210317144200213210,1,2,2,2,Ost
120686,14,7,13,000,2021,01,14,1,2,8,1,0,1,0,0,0,0,0,"727161,093606192618608","5689338,927991315722466",12.259459888000038,51.30994728300004,14210103148310089390,1,6,6,6,West
120693,14,7,13,000,2021,05,07,6,3,2,6,0,1,0,0,0,0,0,"740726,512120266444981","5697227,025118902325630",12.459068014000025,51.375173303000054,14210521144310365680,0,1,1,1,Nordost
120694,14,7,13,000,2021,05,08,5,3,2,2,0,1,0,0,0,0,0,"727019,352355557493865","5690024,189060905948281",12.257865741000046,51.316155741000046,14210506148310376580,0,6,6,6,West
120700,14,7,13,000,2021,04,12,3,2,5,3,1,0,0,0,1,0,0,"736275,568023608997464","5694619,122589543461800",12.393500303000053,51.353633580000064,14210427144200310640,0,1,1,1,Nordost
120701,14,7,13,000,2021,06,11,7,3,5,2,0,1,0,1,0,0,0,"739490,235259755514562","5694456,340512005612254",12.439472598000066,51.35082708500005,14210605145200428850,0,2,2,2,Ost
120717,14,7,13,000,2021,04,14,1,3,3,2,1,1,0,0,0,0,0,"735582,043469092808664","5697094,062659192830324",12.385197633000075,51.37613711100005,14210425148110310700,0,9,9,9,Nord
120732,14,7,13,000,2021,04,12,7,3,1,5,0,1,0,0,0,0,1,"736993,352157605811954","5690258,595486152917147",12.400889509000024,51.31419413200007,14210403148210242500,0,4,4,4,Süd
120738,14,7,13,000,2021,03,15,7,3,5,3,0,1,0,0,1,0,0,"731526,165345551446080","5688439,293340394273400",12.321397329000035,51.30011274100008,14210327144200239900,0,5,5,5,Südwest
120782,14,7,13,000,2021,06,14,7,2,6,4,0,1,1,0,0,0,0,"733468,929321820847690","5688050,821986310184002",12.34896266000004,51.29583236900004,14210612144200428210,0,5,5,5,Südwest
120786,14,7,13,000,2021,04,15,4,3,2,6,0,1,0,0,0,0,0,"736349,570233944803476","5692529,166396705433726",12.393173942000033,51.33484298500008,14210407148410242961,0,0,0,0,Mitte
120799,14,7,13,000,2021,06,10,4,3,2,6,0,1,0,0,0,0,0,"736443,595729675143957","5694576,138768251985312",12.395880489000035,51.353177876000075,14210602148110396020,0,1,1,1,Nordost
120802,14,7,13,000,2021,03,15,3,2,1,3,1,1,0,0,0,0,0,"732239,563366736285388","5699203,184147490188479",12.338634977000027,51.396446645000026,14210330144200242000,0,8,8,8,Nordwest
120807,14,7,13,000,2021,04,09,3,3,9,1,0,1,0,0,0,0,0,"737720,156924304552376","5699707,669100079685450",12.417612022000071,51.39870565200005,14210406144310242490,1,1,1,1,Nordost
120839,14,7,13,000,2021,04,17,2,3,3,6,1,1,0,0,0,0,0,"741309,616381280124187","5686889,555672910064459",12.46043127200005,51.28214140600005,14210419148210311050,0,3,3,3,Südost
120841,14,7,13,000,2021,05,16,5,3,5,3,0,1,0,0,0,0,0,"728106,020001378841698","5691042,088988859206438",12.274084021000021,51.32485924300005,14210520148310365330,0,6,6,6,West
