OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
129006,14220107148310011010,14,7,13,000,2022,01,20,6,3,2,6,2,1,0,1,0,0,0,0,"727151,632225662004203","5689427,265555419959128",12.259380611,51.3107441060001,6,6,6,West
129089,14220204144200318890,14,7,13,000,2022,02,11,6,2,5,2,0,0,1,1,0,0,0,0,"738291,275960637023672","5694496,457866920158267",12.4223134970001,51.3516910540001,1,1,1,Nordost
129100,14220129144200067460,14,7,13,000,2022,01,16,7,3,1,6,0,0,0,1,0,0,0,0,"735399,437100179027766","5693528,963907480239868",12.380219578,51.344211531,0,0,0,Mitte
129219,14220104144200065030,14,7,13,000,2022,01,10,3,2,4,1,0,1,0,1,0,0,0,0,"738761,905854829004966","5694678,545363170094788",12.4291817980001,51.353127951,2,2,2,Ost
129380,14220119144200038090,14,7,13,000,2022,01,12,4,3,2,6,0,0,0,1,0,0,0,0,"732580,620086714974605","5698949,010730220004916",12.3433624790001,51.3940253660001,8,8,8,Nordwest
129615,14220203148210081460,14,7,13,000,2022,02,20,5,3,0,7,2,1,1,0,0,0,0,0,"735062,587410263950005","5690235,069825819693506",12.373218997,51.314783633,4,4,4,Süd
129633,14220106144310020690,14,7,13,000,2022,01,14,5,3,3,6,0,0,0,1,0,0,0,0,"730568,906419096980244","5701178,880990879610181",12.31594512,51.414863338,8,8,8,Nordwest
129642,14220222144200125080,14,7,13,000,2022,02,14,3,3,2,6,0,0,0,1,0,0,0,0,"736454,077093619038351","5696408,295490879565477",12.3972485790001,51.369619191,9,9,9,Nord
129915,14220210148110112620,14,7,13,000,2022,02,20,5,3,2,6,2,1,0,1,0,0,0,0,"735614,046530100982636","5697096,125791179947555",12.3856580070001,51.3761423540001,9,9,9,Nord
129936,14220113148410031880,14,7,13,000,2022,01,18,5,3,5,3,2,0,1,1,0,0,0,0,"733906,733603997039609","5693219,238881199620664",12.3586213150001,51.34204735,0,0,0,Mitte
130036,14220111144200032130,14,7,13,000,2022,01,10,3,2,5,3,0,0,1,1,0,0,0,0,"741473,081628979998641","5689526,945852300152183",12.4645541300001,51.3057443270001,3,3,3,Südost
130056,14220103148220011000,14,7,13,000,2022,01,15,2,3,5,2,0,0,0,1,0,0,0,0,"738531,449675332987681","5689484,080677850171924",12.422401485,51.3065996080001,3,3,3,Südost
130123,14220212144200095790,14,7,13,000,2022,02,10,7,3,5,2,0,0,1,1,0,0,0,0,"727241,339664803002961","5693198,209941240027547",12.2630698840001,51.3445616180001,7,7,7,Alt-West
130176,14220110148310031600,14,7,13,000,2022,01,09,2,3,8,1,0,1,0,1,0,0,0,0,"727274,006441178964451","5689034,902192490175366",12.260883564,51.3071728370001,6,6,6,West
130410,14220129144200067170,14,7,13,000,2022,01,20,7,2,5,3,2,0,0,1,0,0,0,0,"736311,853001518989913","5692442,091985289938748",12.3925757160001,51.33407706,0,0,0,Mitte
130412,14220104144200001820,14,7,13,000,2022,01,19,3,3,5,3,2,1,0,1,0,0,0,0,"726967,856649536988698","5686123,784745260141790",12.254648302,51.2811603660001,5,5,5,Südwest
130453,14220104148210011930,14,7,13,000,2022,01,22,3,3,0,1,2,1,0,1,0,0,1,0,"742489,373583036009222","5691543,297643790021539",12.480477407,51.3234099970001,2,2,2,Ost
130817,14220208148320082910,14,7,13,000,2022,02,17,3,3,5,1,2,0,0,1,0,0,0,0,"730310,616231360007077","5688550,584265120327473",12.304062469,51.301604737,5,5,5,Südwest
130846,14220204144200304760,14,7,13,000,2022,02,12,6,3,0,1,0,0,1,0,0,0,0,0,"737754,208355823997408","5694258,829480409622192",12.4144561910001,51.349783003,1,1,1,Nordost
130873,14220221144200244610,14,7,13,000,2022,02,18,2,3,6,4,2,1,0,0,1,0,0,1,"735373,801499600987881","5693544,235610379837453",12.3798622460001,51.344359228,0,0,0,Mitte
130931,14220129148220095800,14,7,13,000,2022,01,13,7,3,9,1,0,1,0,1,0,0,0,0,"734998,832984142005444","5688838,624885380268097",12.3713860890001,51.3022748550001,4,4,4,Süd
130950,14220202148210102210,14,7,13,000,2022,02,16,4,3,2,6,0,1,0,1,0,0,0,0,"738546,350409136968665","5689439,434815630316734",12.422585025,51.3061926240001,3,3,3,Südost
131025,14220122144200048470,14,7,13,000,2022,01,17,7,3,5,2,1,1,0,1,0,0,0,1,"736426,206999900983647","5692745,972485840320587",12.394415995,51.336757226,3,3,3,Südost
131057,14220110148310011940,14,7,13,000,2022,01,10,2,3,2,2,0,1,0,1,0,0,0,0,"730085,983394464943558","5693095,633973949588835",12.303778778,51.342496715,7,7,7,Alt-West
131091,14220222144310113220,14,7,30,270,2022,02,09,3,3,0,7,0,0,0,0,0,1,0,0,"727770,892022209009156","5701311,131301119923592",12.2758613020001,51.417181251,8,8,8,Nordwest
131122,14220217148210177760,14,7,13,000,2022,02,05,5,3,2,6,2,1,0,1,0,0,0,0,"734657,876050740014762","5689291,490419019944966",12.3668014140001,51.3064806140001,4,4,4,Süd
131126,14220120148310067190,14,7,13,000,2022,01,07,5,3,6,7,2,1,0,0,1,0,0,1,"728222,304544463986531","5690335,725418419577181",12.2752980110001,51.318471372,6,6,6,West
131189,14220120144200112950,14,7,13,000,2022,01,07,5,3,5,2,0,1,0,0,0,0,1,0,"728853,190001414041035","5682493,278988719917834",12.2793133320001,51.2478140090001,5,5,5,Südwest
131316,14220116148410048830,14,7,13,000,2022,01,17,1,3,6,2,2,1,0,1,1,0,0,0,"736203,837636912008747","5693802,303841919638216",12.3919300060001,51.3463314750001,0,0,0,Mitte
131341,14220203148410096070,14,7,13,000,2022,02,07,5,3,5,3,0,1,1,0,0,0,0,0,"736314,887868626043200","5692448,402604529634118",12.39262339,51.334132444,0,0,0,Mitte
131430,14220129144200067470,14,7,13,000,2022,01,13,7,3,2,2,0,0,0,1,0,0,0,0,"733551,573001472046599","5693104,462986569851637",12.353455748,51.34116305,0,0,0,Mitte
131481,14220121144200067480,14,7,13,000,2022,01,14,6,3,5,2,0,0,1,1,0,0,0,0,"735191,845771654043347","5697039,217983829788864",12.3795648780001,51.3758065380001,9,9,9,Nord
131551,14220131144200163200,14,7,13,000,2022,01,07,2,2,2,6,0,1,0,1,0,0,0,1,"736692,193921520025469","5694500,709198289550841",12.3993940300001,51.3523973420001,1,1,1,Nordost
131552,14220120148410049170,14,7,13,000,2022,01,10,5,3,2,6,0,0,0,1,0,0,0,0,"736423,588074867962860","5693422,994335969910026",12.3948278660001,51.342835386,0,0,0,Mitte
131718,14220212148220096060,14,7,13,000,2022,02,18,7,2,3,6,2,0,0,1,0,0,0,0,"740506,826585137983784","5694454,030933950096369",12.45404253,51.350377146,2,2,2,Ost
131759,14220219144200112610,14,7,13,000,2022,02,18,7,2,2,6,2,0,0,1,0,0,0,0,"731226,413678604993038","5696762,203078229911625",12.322507584,51.374948241,8,8,8,Nordwest
131768,14220113143263038070,14,7,13,000,2022,01,11,5,3,3,6,0,0,1,0,0,0,0,0,"738094,256117244018242","5694439,779833639971912",12.419451419,51.3512648760001,1,1,1,Nordost
131838,14220113144200080460,14,7,13,000,2022,01,07,5,3,4,5,2,0,0,0,0,0,1,1,"745598,972797965048812","5692112,830411589704454",12.525412106,51.327187861,2,2,2,Ost
131882,14220116144200031540,14,7,13,000,2022,01,23,1,3,6,7,2,1,0,0,1,0,0,1,"733289,676766077056527","5692996,956187879666686",12.349631787,51.3403055150001,0,0,0,Mitte
131915,14220123144310066170,14,7,13,000,2022,01,23,1,3,2,6,2,1,0,1,0,0,0,0,"744355,223097892012447","5693512,996034019626677",12.508555147,51.340290069,2,2,2,Ost
131946,14220204148210087160,14,7,13,000,2022,02,10,6,2,5,2,0,0,1,1,0,0,0,0,"738289,351160536985844","5694495,657933830283582",12.422285371,51.3516846810001,1,1,1,Nordost
131956,14220117144200047600,14,7,13,000,2022,01,16,2,3,5,3,0,1,0,1,0,0,0,0,"737761,137001547962427","5690343,620984620414674",12.4119430760001,51.3146371180001,3,3,3,Südost
131979,14220125144200065970,14,7,13,000,2022,01,10,3,2,1,6,0,1,0,1,0,0,0,0,"735845,604523475049064","5693707,536133799701929",12.3867325960001,51.3456295400001,0,0,0,Mitte
131995,14220104144310010960,14,7,13,000,2022,01,01,3,2,2,6,2,1,0,1,0,0,1,0,"730526,921029477962293","5683133,386263930238783",12.3036663610001,51.252886496,5,5,5,Südwest
132049,14220622144200482180,14,7,13,000,2022,06,07,4,3,5,2,0,0,0,1,0,0,0,0,"732627,688001457951032","5692411,683986989781260",12.3397619250001,51.3353229140001,7,7,7,Alt-West
132060,14220429148410372290,14,7,13,000,2022,04,22,6,3,7,7,2,0,1,0,0,0,0,0,"736451,829651123960502","5692269,629534609615803",12.394467035,51.332470829,0,0,0,Mitte
132066,14220330148310236840,14,7,13,000,2022,03,13,4,3,5,3,0,0,0,1,0,0,0,0,"727525,938882861053571","5691346,826481410302222",12.2659669820001,51.327827266,6,6,6,West
132083,14220607148410429740,14,7,13,000,2022,06,05,3,3,5,3,0,0,1,1,0,0,0,0,"736437,213398045045324","5693415,545935549773276",12.395018199,51.342762862,0,0,0,Mitte
132085,14220526148310343730,14,7,13,000,2022,05,12,5,3,5,3,0,0,0,1,0,0,0,0,"726967,016001368989237","5686124,598989370279014",12.2546367850001,51.28116801,5,5,5,Südwest
