OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST,index_right,FID,SBZ,Name
134793,14230512148410311900,14,7,13,000,2023,05,16,6,3,0,1,0,0,1,0,0,0,0,0,"736423,713399999774992","5692733,980399999767542",12.394372302000022,51.33665061900007,1,3,3,3,Südost
134795,14230512144200311840,14,7,13,000,2023,05,15,6,3,5,3,0,0,1,1,0,0,0,0,"727229,296099999919534","5693203,732100000604987",12.262900769000055,51.34461600600008,1,7,7,7,Alt-West
134796,14230512144200311790,14,7,13,000,2023,05,12,6,3,5,2,0,0,1,0,0,0,0,1,"738578,304899999871850","5694524,943600000813603",12.426446959000032,51.35182633800008,1,1,1,1,Nordost
134829,14230510148410367770,14,7,13,000,2023,05,16,4,3,5,2,0,1,1,1,0,0,0,0,"737167,519199999980628","5691105,885800000280142",12.403947584000036,51.32172697400006,1,3,3,3,Südost
134830,14230510144200311810,14,7,30,250,2023,05,17,4,3,5,2,0,1,0,1,0,0,0,1,"736573,597299999557436","5702615,586200000718236",12.403099184000041,51.42528627400003,1,9,9,9,Nord
134846,14230509148211367560,14,7,13,000,2023,05,16,3,3,3,2,0,0,1,1,0,0,0,0,"738535,391400000080466","5689521,962200000882149",12.422483254000042,51.30693798000004,1,3,3,3,Südost
134847,14230509144310376030,14,7,13,000,2023,05,14,3,3,2,6,0,0,0,1,0,0,0,0,"734808,687500000000000","5700626,689200000837445",12.376441587000045,51.408167234000075,1,9,9,9,Nord
134865,14230508148110296820,14,7,13,000,2023,05,08,2,3,2,6,0,0,0,1,0,0,0,0,"736055,509399999864399","5700933,306800000369549",12.394540627000026,51.410401997000065,1,9,9,9,Nord
134898,14230505148410313000,14,7,13,000,2023,05,09,6,3,1,5,0,0,0,1,0,0,0,0,"736382,398599999956787","5692614,868899999186397",12.393701222000061,51.335598625000046,1,0,0,0,Mitte
134900,14230505144200295700,14,7,13,000,2023,05,16,6,3,0,1,0,0,1,0,0,0,0,1,"735703,249200000427663","5690285,932099999859929",12.382429126000034,51.314975236000066,1,4,4,4,Süd
134925,14230504144200295260,14,7,13,000,2023,05,05,5,2,6,2,1,0,0,1,1,0,0,0,"733905,366100000217557","5696953,400100000202656",12.361056722000058,51.37556751400007,1,9,9,9,Nord
134938,14230503145400295280,14,7,13,000,2023,05,15,4,3,6,3,0,0,0,1,1,0,0,0,"731133,204699999652803","5688478,964600000530481",12.315795872000024,51.30062850500008,1,5,5,5,Südwest
134939,14230503144310298150,14,7,13,000,2023,05,10,4,3,3,6,0,0,0,1,0,0,0,1,"730002,512400000356138","5683508,141599999740720",12.296405280000045,51.256462455000076,1,5,5,5,Südwest
134955,14230502148210296840,14,7,13,000,2023,05,19,3,3,5,3,0,0,1,1,0,0,0,0,"737349,166600000113249","5690243,993499999865890",12.405976106000026,51.31391479700005,1,3,3,3,Südost
134956,14230502148210267950,14,7,13,000,2023,05,14,3,3,0,7,0,0,1,0,0,0,0,0,"738523,294700000435114","5689509,665699999779463",12.422301805000075,51.30683267500007,1,3,3,3,Südost
134959,14230502144100298110,14,7,13,000,2023,05,09,3,3,5,3,0,0,1,1,0,0,0,0,"737348,063199999742210","5690243,959000000730157",12.405960279000055,51.31391494800005,1,3,3,3,Südost
