UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
1,43708,43709,14,7,13,000,2016,01,08,6,2,7,1,0,1,0,1,0,0,0,1,"735124,027299999960000","5688810,842500000300000",12.373160536,51.301973786,4,4.0,4,Süd,,,,,,,,,,
2,43732,43733,14,7,13,000,2016,01,15,4,3,4,2,0,2,0,1,0,0,0,0,"742268,028100000000000","5694721,728600000000000",12.479468361,51.35203196,2,2.0,2,Ost,,,,,,,,,,
3,43734,43735,14,7,13,000,2016,01,14,5,3,8,6,0,1,0,1,0,0,1,0,"738190,797400000040000","5694460,495900000400000",12.420849131,51.351410376,1,1.0,1,Nordost,,,,,,,,,,
4,43735,43736,14,7,13,000,2016,01,17,5,2,4,2,2,1,0,1,0,0,0,0,"730269,101999999960000","5701145,928799999900000",12.311619805,51.414689341,8,8.0,8,Nordwest,,,,,,,,,,
5,43779,43780,14,7,13,000,2016,01,23,5,3,4,2,2,1,0,1,0,0,0,0,"735075,512800000030000","5690238,687900000300000",12.373406519,51.314810772,4,4.0,4,Süd,,,,,,,,,,
6,43790,43791,14,7,13,000,2016,01,06,6,3,5,2,1,0,1,1,0,0,0,0,"728896,987399999980000","5698651,452999999700000",12.290312733,51.392851818,8,8.0,8,Nordwest,,,,,,,,,,
7,43836,43837,14,7,13,000,2016,01,13,6,2,5,3,0,0,1,1,0,0,0,0,"735368,911199999970000","5693500,397500000000000",12.379763177,51.343967748,0,0.0,0,Mitte,,,,,,,,,,
8,43838,43839,14,7,13,000,2016,01,14,7,3,5,2,0,0,0,1,0,0,0,0,"740887,800799999970000","5696362,716599999900000",12.460795476,51.367347309,2,2.0,2,Ost,,,,,,,,,,
9,43861,43862,14,7,13,000,2016,01,10,5,3,2,6,0,1,1,1,0,0,0,0,"727208,011000000060000","5693573,579599999800000",12.262831686,51.347944772,7,7.0,7,Alt-West,,,,,,,,,,
10,43862,43863,14,7,13,000,2016,01,10,5,3,0,1,0,2,1,0,0,0,0,0,"736470,731499999990000","5693230,955199999700000",12.395376012,51.341092005,2,2.0,2,Ost,,,,,,,,,,
